"Site","Lat_m","T_m","T_sd"
"Los_Rastros",43.6816082743964,16.5287871933533,2.01770948000171
"Badong-Jiuligang",23.7771482388626,16.387332296546,1.47510321577207
"Chanares",44.9761931181545,6.61262676660654,0.306275628070547
"Ischigualasto",44.5078249007832,11.4036430319452,0.284523659469254
"Poland",26.7509389938634,22.8599073651632,2.07488130827151
"Dp_Morsleben",26.3166438956742,2.62719248474674,0.499057510551916
"Neubrandenburg_2",27.6672142279789,14.3387007927522,1.13053241246889
"Am_Hohnert",24.3682838258902,15.3975411653865,1.69862314775688
"Tasmania",69.2583848760598,9.8635214532193,0.550089449142164
"WHAtlas_Morocco",8.74942524319498,6.80423092925329,0.852953620380972
"Williston_Lake",30.5393561066552,27.1774952345709,0.865856935414922
"Frederick_Is",25.4920927225853,25.8696483233853,1.12465735733321
"Maantang_Sichuan",16.0829952716087,23.1877517335786,0.82625042065087
"Zhuganpo_Sichuan",10.519423377646,27.6664887387692,1.06458317169028
"Oman",18.1265617059172,23.7233440115512,1.01593450145568
"Dolomites",13.8250042048436,27.2131319167224,0.843457155604932
"Lagonegro",6.82431158229618,27.9910255548468,1.14500756169375
"Pizzo_Mondello",4.5518322367778,20.7506545431546,1.23232442724082
"Aghia_Marina",5.69256353856361,21.0597968016475,1.07620706219841
"Guri_Zi",8.67724914076214,22.6332217086446,1.06539195049573
"Belvedere_di_Colle",13.9277051984522,26.3404171790544,1.04414333873148
"Durrnberg-Draxllehen",14.7417550242759,22.6515808000512,1.21163894365335
"Feuerkogel",14.2568883568522,24.245348842669,1.0276409856434
"Guling",24.669589275444,32.2431343745154,1.00360015612444
