CIA, Temp
0.0640509, 22.3435928
0.0259681, 19.937458
0.0096532, 19.1992981
0.0341036, 19.2969213
0.0444324, 19.5860036
0.0476734, 18.7208137
0.0395198, 18.528016
0.0596196, 18.4330701
0.0645211, 18.9782364
0.0726691, 18.9146235
0.1351264, 17.9247872
0.1579496, 18.1505178
0.1677387, 18.599824
0.0150172, 16.0265435
0.0291429, 16.0273924
0.0508879, 16.6376736
0.0644765, 16.9269517
0.0693606, 16.670835
0.0747796, 16.030135
0.0606526, 15.9651834
0.0557504, 15.3879658
0.0769368, 15.2930851
0.0943375, 15.9992591
0.1024869, 15.9997488
0.1057613, 16.6730225
0.1117292, 16.2887658
0.019872, 14.4242712
0.0410605, 14.4255445
0.0595075, 13.2728069
0.1356704, 17.9568712
0.1584957, 18.2787558
0.1693706, 18.696076
0.0839703, 13.947354
0.0948474, 14.4608282
0.1029968, 14.4613179
0.1095156, 14.4296584
0.1018949, 13.7561235
0.0888426, 13.1463647
0.0964473, 13.0827192
0.1089431, 13.0834701
0.1241553, 13.0843843
0.1165339, 12.3787981
0.1328181, 11.7066998
0.1463761, 10.5857197
0.1790712, 15.0748641
0.1882473, 12.3190052
0.208368, 13.185599
0.2094351, 12.2882273
0.1968948, 10.2361916
0.2034143, 10.2365834
0.2274426, 15.9111043
0.2774779, 18.3179574
0.2764609, 21.5230245
0.3666436, 21.3361364
0.4378612, 23.455801
0.2638314, 15.3684194
0.2415181, 13.6042579
0.2491047, 12.7072779
0.2659391, 12.3557255
0.2708567, 13.6380723
0.2844404, 13.7029912
0.2849733, 13.222254
0.3072818, 14.7620562
0.3176322, 16.0447295
0.4083777, 16.7553112
0.3208585, 14.5064619
0.3230227, 14.0899252
0.3317175, 14.1866016
0.3393117, 13.6421862
0.257711, 8.7334362
0.2740523, 10.6895464
0.282745, 10.6900688
0.2952561, 11.3959489
0.322439, 12.2309158
0.3555904, 12.7136773
0.3137198, 11.0124431
0.3147966, 10.5637899
0.3240445, 11.1092174
0.3398133, 11.7191394
0.3566575, 11.8163055
0.3566484, 11.3996383
0.344689, 11.0784068
0.3446827, 10.7899449
0.3408685, 10.2768951
0.3479341, 10.4055249
0.3604243, 10.1498652
0.3653181, 10.342467
0.3723831, 10.4390455
0.3729528, 11.6570284
0.3789228, 11.3689256
0.3011683, 8.4475862
0.3180069, 8.2883418
0.3261654, 8.7054987
0.3392059, 8.770385
0.3397589, 9.2191362
0.3669048, 8.3553829
0.4376174, 12.2378376
0.4462955, 11.5652822
0.4326887, 10.4426696
0.4370191, 9.7057503
0.4266909, 9.4487194
0.4397112, 8.5841173
0.4212273, 8.0381347
0.4239306, 7.4293227
0.4065549, 7.8769965
0.3956744, 7.2032657
0.3820816, 6.7216796
0.3581599, 5.9510112
0.3396865, 5.8857985
0.3434756, 5.2450005
0.3304303, 4.955755
0.3070728, 5.146659
0.3119172, 3.0636168
0.2874954, 4.2800979
0.2809724, 4.1194495
0.265173, 2.0992692
0.5266647, 9.8072916
0.5201027, 7.851769
0.4673962, 7.5280887
0.5059248, 5.4470708
0.5656524, 3.8480961
0.4243464, 1.5639631
0.7022317, 13.631945
